userId,occupation,signup_year
1,teacher,2021
2,artist,2024
3,writer,2018
4,artist,2022
5,student,2022
6,scientist,2023
7,scientist,2018
8,lawyer,2021
9,doctor,2022
10,scientist,2019
11,student,2022
12,teacher,2024
13,teacher,2020
14,writer,2021
15,doctor,2018
16,teacher,2020
17,artist,2020
18,student,2018
19,scientist,2018
20,doctor,2019
21,writer,2021
22,artist,2020
23,lawyer,2019
24,scientist,2023
25,artist,2023
26,teacher,2020
27,writer,2023
28,student,2018
29,lawyer,2023
30,lawyer,2024
31,lawyer,2023
32,lawyer,2024
33,lawyer,2019
34,artist,2020
35,engineer,2018
36,student,2021
37,lawyer,2018
38,scientist,2023
39,teacher,2023
40,lawyer,2021
41,teacher,2018
42,writer,2023
43,scientist,2021
44,teacher,2023
45,lawyer,2019
46,writer,2022
47,lawyer,2019
48,doctor,2018
49,lawyer,2019
50,writer,2022
